n,m,sparsiness,number,p,time,name
200,2000,95,3,0.5,0.12018609046936035,sparse
200,3400,99,1,0.5,0.09840774536132812,sparseextra
100,1600,99,4,0.5,0.02286386489868164,sparseextra
500,10000,99,4,0.5,0.9588847160339355,sparseextra
1000,45000,97,1,0.5,11.272774696350098,sparseextra
50,25,99,3,0.5,0.004853487014770508,sparse
200,2000,95,2,0.5,0.11739897727966309,sparse
50,775,99,1,0.5,0.007964611053466797,sparseextra
100,1600,99,1,0.5,0.02297687530517578,sparseextra
1000,10000,99,0,0.5,3.9831669330596924,sparse
300,4500,95,1,0.5,0.3268427848815918,sparse
100,300,97,0,0.5,0.02398085594177246,sparse
300,900,99,4,0.5,0.11948204040527344,sparse
500,12500,95,1,0.5,1.7702012062072754,sparse
100,1800,97,3,0.5,0.03325486183166504,sparseextra
300,2700,97,2,0.5,0.2761356830596924,sparse
1000,30000,97,4,0.5,10.47260308265686,sparse
300,45000,50,1,0.5,1.3256371021270752,density
100,300,97,4,0.5,0.02449822425842285,sparse
100,500,95,2,0.5,0.024698257446289062,sparse
500,12500,95,4,0.5,1.7421150207519531,sparse
300,45000,50,4,0.5,1.293306589126587,density
100,500,95,3,0.5,0.03151106834411621,sparse
300,2700,97,1,0.5,0.274899959564209,sparse
1000,50000,95,2,0.5,15.85422945022583,sparse
1000,45000,97,3,0.5,11.142889738082886,sparseextra
200,3400,99,4,0.5,0.1074531078338623,sparseextra
500,7500,97,0,0.5,0.9437470436096191,sparse
1000,65000,95,2,0.5,16.364364624023438,sparseextra
300,9000,95,4,0.5,0.479583740234375,sparseextra
200,1200,97,4,0.5,0.0783686637878418,sparse
300,7200,97,3,0.5,0.48972225189208984,sparseextra
300,4500,95,2,0.5,0.31418657302856445,sparse
300,45000,50,3,0.5,1.2887091636657715,density
500,15000,97,3,0.5,1.198807954788208,sparseextra
100,5000,50,0,0.5,0.06335949897766113,density
50,775,99,3,0.5,0.008109331130981445,sparseextra
1000,50000,95,4,0.5,16.1717529296875,sparse
100,500,95,0,0.5,0.03548598289489746,sparse
100,2000,95,3,0.5,0.035008907318115234,sparseextra
100,1800,97,1,0.5,0.032140254974365234,sparseextra
200,1200,97,0,0.5,0.07785272598266602,sparse
1000,30000,97,3,0.5,10.470662355422974,sparse
300,9000,95,1,0.5,0.48667478561401367,sparseextra
500,2500,99,0,0.5,0.5043396949768066,sparse
1000,45000,97,4,0.7,11.333560943603516,sparseextra
100,1600,99,2,0.7,0.026163339614868164,sparseextra
200,2000,95,1,0.7,0.13140273094177246,sparse
50,875,95,0,0.7,0.01285409927368164,sparseextra
1000,10000,99,3,0.7,5.438223123550415,sparse
200,5000,95,3,0.7,0.21860074996948242,sparseextra
1000,50000,95,0,0.7,21.24321985244751,sparse
50,125,95,2,0.7,0.0054819583892822266,sparse
50,875,95,3,0.7,0.009248971939086914,sparseextra
200,5000,95,2,0.7,0.21459102630615234,sparseextra
300,4500,95,3,0.7,0.4598972797393799,sparse
300,22500,75,0,0.7,1.2696385383605957,density
50,825,97,3,0.7,0.016112089157104492,sparseextra
300,7200,97,1,0.7,0.5167086124420166,sparseextra
1000,10000,99,4,0.7,5.494716167449951,sparse
100,100,99,2,0.7,0.019410133361816406,sparse
300,22500,75,2,0.7,1.2833731174468994,density
300,5400,99,3,0.7,0.3224191665649414,sparseextra
300,2700,97,3,0.7,0.318342924118042,sparse
300,5400,99,2,0.7,0.32451939582824707,sparseextra
50,125,95,0,0.7,0.005496978759765625,sparse
200,5000,95,0,0.7,0.20724821090698242,sparseextra
50,25,99,1,0.7,0.004662036895751953,sparse
100,2000,95,1,0.7,0.039794206619262695,sparseextra
100,5000,50,3,0.7,0.06167769432067871,density
500,15000,97,1,0.7,2.186642646789551,sparseextra
50,825,97,2,0.7,0.00872492790222168,sparseextra
500,15000,97,4,0.7,2.20483136177063,sparseextra
500,20000,95,3,0.7,1.9442307949066162,sparseextra
200,1200,97,3,0.7,0.09916305541992188,sparse
100,5000,50,4,0.7,0.061795711517333984,density
200,400,99,3,0.7,0.04106640815734863,sparse
200,2000,95,4,0.7,0.1354832649230957,sparse
300,4500,95,0,0.7,0.46736598014831543,sparse
1000,25000,99,3,0.7,6.8682801723480225,sparseextra
100,1800,97,4,0.7,0.0337061882019043,sparseextra
500,20000,95,2,0.7,2.0052075386047363,sparseextra
500,15000,97,0,0.7,2.1944081783294678,sparseextra
200,400,99,4,0.7,0.06723570823669434,sparse
300,2700,97,4,0.7,0.30769824981689453,sparse
500,2500,99,3,0.7,0.612360954284668,sparse
1000,50000,95,1,0.7,21.410136699676514,sparse
300,900,99,1,0.7,0.12604713439941406,sparse
50,75,97,1,0.7,0.00786733627319336,sparse
1000,25000,99,1,0.7,6.375915288925171,sparseextra
50,125,95,3,0.7,0.009532451629638672,sparse
50,75,97,4,0.7,0.007788419723510742,sparse
1000,45000,97,2,0.7,11.297866821289062,sparseextra
50,75,97,3,0.7,0.008878946304321289,sparse
500,20000,95,4,0.7,1.9388108253479004,sparseextra
500,7500,97,3,0.7,1.6259925365447998,sparse
100,500,95,1,0.7,0.019742965698242188,sparse
100,1800,97,0,0.7,0.03447771072387695,sparseextra
300,2700,97,0,0.7,0.3241734504699707,sparse
100,100,99,1,0.7,0.020653247833251953,sparse
500,10000,99,3,0.7,1.1867139339447021,sparseextra
500,10000,99,1,0.7,1.289541244506836,sparseextra
100,2500,75,4,0.7,0.04400634765625,density
1000,65000,95,0,0.7,21.466158151626587,sparseextra
300,900,99,2,0.7,0.1318528652191162,sparse
100,300,97,3,0.7,0.02004528045654297,sparse
50,825,97,1,0.7,0.008387088775634766,sparseextra
100,1800,97,2,0.7,0.032523155212402344,sparseextra
200,400,99,2,0.7,0.047573089599609375,sparse
1000,65000,95,4,0.7,21.443872213363647,sparseextra
200,4200,97,3,0.7,0.17992377281188965,sparseextra
500,7500,97,1,0.7,1.575857400894165,sparse
300,9000,95,2,0.7,0.6959269046783447,sparseextra
500,12500,95,3,0.7,1.7895417213439941,sparse
